,symbol,name,industry,macro,RS,RSM
48,AGROPHOS,AGRO PHOS INDIA LTD,FERTILIZERS,Basic Materials,0.8148317760493793,25.074050976053975
49,AHLADA,AHLADA ENGINEERS LTD,FURNITURE / HOME FURNISHING / FLOORING,CAPITAL GOODS,-0.3649538543522955,735.9961673456612
50,AHLEAST,ASIAN HOTELS (EAST) LTD,Hotels,SERVICES,0.2717560369831364,-62.0535392201215
51,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD,Realty,CAPITAL GOODS,-0.2128782884094652,406.4631918545764
53,AIAENG,AIA ENGINEERING LTD, Industrial Goods,Industrials,2.0118541046805705,38.55248923383212
54,AIRAN,AIRAN LTD,IT ENABLED SERVICES - SOFTWARE,Information Technology,1.6486537350891541,113.13843655700215
55,AIROLAM,AIRO LAM LTD,PLYWOOD BOARDS/ LAMINATES,Basic Materials,-0.043813998135667505,-80.70847896725621
56,AJANTPHARM,AJANTA PHARMA LTD,Pharmaceuticals,Healthcare,0.41995691676942154,-598.368372351787
57,AJMERA,AJMERA REALTY & INFRA INDIA LTD,Realty,CAPITAL GOODS,0.4684316757263774,14.439471892683997
58,AJOONI,AJOONI BIOTECH LTD,ANIMAL FEED,Industrials,-1.2081252315938196,77.24865496174
60,AKASH,AKASH INFRA PROJECTS LTD,ENGINEERING / DESIGNING /CONSTRUCTION,CAPITAL GOODS,-0.8063625471685253,43.46407365077689
61,AKG,AKG EXIM LTD,Trading Companies & Distributors,SERVICES,0.6201692599301086,-13.96135142910685
62,AKSHARCHEM,AKSHARCHEM INDIA LTD,DYES & PIGMENTS,Basic Materials,-0.143292032895349,-122.19884498053342
63,AKSHOPTFBR,AKSH OPTIFIBRE LTD,Telecom Cables,Telecom,-0.17914796795620663,-173.18759199657262
64,AKZOINDIA,AKZO NOBEL INDIA LTD,PAINTS,Industrials,0.8788745860072666,-42.658226037218085
65,ALANKIT,ALANKIT LTD,Diversified Commercial Services,Diversified,-0.10462082832874921,-230.83166478849824
66,ALBERTDAVD,ALBERT DAVID LTD,Pharmaceuticals,Healthcare,1.1166873966294568,-13.820793792691166
68,ALEMBICLTD,ALEMBIC LTD,Pharmaceuticals,Healthcare,0.24391518352353336,-40.86714209462807
69,ALICON,ALICON CASTALLOY LTD,Auto Parts & Equipment,CDGS ,1.3699461233886983,-9.542879453385744
70,ALKALI,ALKALI METALS LTD,Specialty Chemicals,Basic Materials,0.41751727396523064,-48.893811251450245
71,ALKEM,ALKEM LABORATORIES LTD,Pharmaceuticals,Healthcare,0.34549143406886285,3050.414794939935
72,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD,Specialty Chemicals,Basic Materials,0.4475059848806187,-51.379827123625944
73,ALLCARGO,ALLCARGO LOGISTICS LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,-0.6828436329410081,-5.943570278875709
