,date,Automobile and Auto Components,Capital Goods,Chemicals,Construction,Construction Materials,Consumer Durables,Consumer Services,Fast Moving Consumer Goods,Financial Services,Healthcare,Information Technology,Media Entertainment & Publication,Metals & Mining,Oil Gas & Consumable Fuels,Power,Realty,Services,Telecommunication,Textiles
0,2023-11-02,,,,,,,,,,,,,,,,,,,
1,2023-11-03,1.0057061834211636,1.006502633289401,1.0099785047246366,0.9986640061074006,1.0013388167281845,1.0078755420896324,1.0165879271384806,1.0068722732922657,1.0045099986644257,1.009202547686123,1.0087126596863247,1.0210857399434135,1.005363244877532,1.0112185312363875,1.0062987799602017,1.0263214409849863,1.0136705086254878,0.9978605483713536,0.9955437312936481
2,2023-11-06,1.0150128274162746,1.0175180346985981,1.0237385027985961,1.0112966744835195,1.0111367328387089,1.0196013934817378,1.0357039919417323,1.0141913060314482,1.0097479292004632,1.0229879350328563,1.015215166616209,1.007180205722767,1.020758892495285,1.0240981208848963,1.0151855219180643,1.0400482971336844,1.041860729117239,0.9966704910008871,0.9977013634852011
3,2023-11-07,1.0132036490411216,1.0236191045700764,1.019094837868855,1.0142921496247932,1.0122444202172043,1.0235601903477818,1.0494798411566837,1.0187238106087089,1.0163876244255314,1.0364401072898297,1.0199690435514337,0.9966714112254167,1.0241698885053487,1.0331913728050532,1.01804369737472,1.020037750393196,1.061733499540346,0.9990652777890993,0.9909092118390422
4,2023-11-08,1.021870673468921,1.0344054060157486,1.034540860397201,1.039473964997684,1.0137055972856248,1.0409587455636091,1.0618347104030486,1.0237718694954696,1.0214045579484592,1.0520972953327072,1.0260991248832587,0.9956309428410623,1.027189931689379,1.0418880844246163,1.024218236666756,1.0360209578125947,1.0648514353579495,0.994223279866355,1.0078111074160292
5,2023-11-09,1.0246275166227248,1.0296967480940755,1.0261637394540912,1.0400701657110853,1.0061030843665038,1.0321406592979172,1.0578825535075056,1.015232435454151,1.02193607340138,1.0547250479878938,1.020945449273919,1.0003444539549788,1.0237371670494326,1.0361134027221328,1.0211023356167184,1.058470404313013,1.055696896828898,0.9957890968138091,1.0026365147988028
6,2023-11-10,1.0211960993325309,1.037343708340599,1.0286373084062708,1.0269520249388884,1.0087933489150585,1.031666610802404,1.0626914601957673,1.012761615308258,1.0267623815287048,1.0583607281390732,1.0227760901240281,0.9670312451931558,1.0372421085831742,1.0348849156779025,1.0305526474579703,1.0630242523376727,1.054114051292862,0.9926649003338839,1.0205680079813768
7,2023-11-12,1.0275551267394227,1.0428898461438192,1.0337821251550225,1.0375224924406614,1.0123441318059725,1.0342527848685263,1.0665343050098506,1.0158871322052485,1.0335535468596688,1.0620454987485763,1.0300039295182037,0.9760194986245628,1.0436590672196662,1.0424797343594439,1.039094778609764,1.0686056866175466,1.065055093381051,1.0001918080193055,1.0204296641170603
8,2023-11-13,1.0235070793482135,1.0461548376678782,1.0272359414708456,1.0318529224097788,1.0089726341212735,1.026528506804761,1.0672104144561152,1.0127817291879668,1.0443580319290076,1.0582720494498188,1.021572372784676,0.9921428110026349,1.0449105175527549,1.0483950018124284,1.0426225566009768,1.0520097393828647,1.0575157214999813,1.0021500366277203,0.9853249085467243
9,2023-11-15,1.0458861686951255,1.055106182045281,1.0367886019492862,1.046639024693081,1.012638259534235,1.029799676541931,1.0765304690576252,1.0166612851509256,1.0555803080017911,1.0593111848942347,1.0466473419692588,0.9798196208684563,1.0533236921418183,1.0583102487845606,1.0443847471964784,1.081483396063478,1.0652922165705614,1.0051540557882421,0.9842580645161291
10,2023-11-16,1.0544289217631067,1.0632833941024236,1.0368260202515123,1.0374377291171983,1.017072725711382,1.0319829557789872,1.0811526124378332,1.0159644360755693,1.0552915811664194,1.0699956084338713,1.078802468347612,0.9862667362329508,1.0497130286048642,1.0653863488712672,1.0430976106378966,1.1021014060106584,1.0709732398306555,1.0136255649337065,0.9961396740937812
11,2023-11-17,1.0615997364685053,1.071307805763378,1.0413612162031392,1.074771810402256,1.024431481402891,1.038911674280676,1.1007089574999434,1.0257004466030748,1.0484825531463893,1.0802822196777966,1.0786817214079463,0.9819373720459695,1.0509504394637577,1.054277330029904,1.0467005513758927,1.0967103135350216,1.0757413075274478,1.0149890780450104,0.9975550382440972
