Date,Adj Close,Close,High,Low,Open,Volume
2024-05-21,156.66644287109375,158.85000610351562,160.5,158.1999969482422,160.5,1944712
2024-05-22,154.2008056640625,156.35000610351562,159.9499969482422,155.64999389648438,158.39999389648438,2453852
2024-05-23,156.96231079101562,159.14999389648438,160.0,155.6999969482422,157.35000610351562,7632301
2024-05-24,155.58155822753906,157.75,159.4499969482422,157.14999389648438,159.10000610351562,2161520
2024-05-27,156.02536010742188,158.1999969482422,159.0,156.3000030517578,158.85000610351562,2337095
2024-05-28,154.64462280273438,156.8000030517578,159.1999969482422,155.0500030517578,158.1999969482422,2025656
2024-05-29,155.48292541503906,157.64999389648438,159.0,155.8000030517578,156.8000030517578,1738865
2024-05-30,151.04478454589844,153.14999389648438,157.64999389648438,152.25,157.64999389648438,6928838
2024-05-31,150.8475341796875,152.9499969482422,156.75,152.35000610351562,154.0,7196801
2024-06-03,157.50474548339844,159.6999969482422,160.1999969482422,156.25,157.0,5183145
2024-06-04,147.29702758789062,149.35000610351562,160.0,144.60000610351562,160.0,12468536
2024-06-05,154.69393920898438,156.85000610351562,157.89999389648438,148.0,151.39999389648438,5258202
2024-06-06,156.8636932373047,159.0500030517578,162.0,156.5,157.5500030517578,6006701
2024-06-07,166.1344757080078,168.4499969482422,169.85000610351562,158.0500030517578,160.10000610351562,14435252
2024-06-10,163.07708740234375,165.35000610351562,171.6999969482422,164.5,171.6999969482422,8596119
2024-06-11,162.63327026367188,164.89999389648438,169.2899932861328,164.60000610351562,168.64999389648438,6986709
2024-06-12,168.27464294433594,170.6199951171875,171.67999267578125,165.2100067138672,165.8000030517578,13051066
2024-06-13,173.4524688720703,175.8699951171875,179.17999267578125,175.0,175.10000610351562,47333091
2024-06-14,179.3699951171875,181.8699951171875,183.75999450683594,176.7100067138672,178.0,37292621
