Date,Open,High,Low,Close,Adj Close,Volume
2024-05-21,3945.550048828125,3969.0,3889.949951171875,3947.60009765625,3939.131591796875,30669
2024-05-22,3952.5,4069.89990234375,3940.0,4042.35009765625,4033.67822265625,49973
2024-05-23,4070.0,4136.0,4059.050048828125,4069.550048828125,4060.81982421875,29138
2024-05-24,4069.85009765625,4081.0,4040.0,4069.5,4060.77001953125,24018
2024-05-27,4090.050048828125,4100.0,4047.050048828125,4076.10009765625,4067.35595703125,31025
2024-05-28,4060.050048828125,4150.0,4060.050048828125,4122.39990234375,4113.556640625,38340
2024-05-29,4122.39990234375,4200.0,4100.0,4166.85009765625,4157.9111328125,34032
2024-05-30,4166.85009765625,4225.0,4105.10009765625,4146.10009765625,4137.20556640625,233485
2024-05-31,4150.0,4299.9501953125,4035.10009765625,4195.39990234375,4186.39990234375,86790
2024-06-03,4290.0,4299.9501953125,4072.35009765625,4092.85009765625,4092.85009765625,39728
2024-06-04,4047.0,4128.0498046875,3541.300048828125,3834.0,3834.0,103020
2024-06-05,3834.0,4010.0,3760.050048828125,3993.39990234375,3993.39990234375,35272
2024-06-06,3980.0,4135.14990234375,3958.64990234375,3996.449951171875,3996.449951171875,25590
2024-06-07,4028.85009765625,4044.64990234375,3883.5,3906.75,3906.75,29930
2024-06-10,3929.949951171875,3934.949951171875,3810.0,3856.800048828125,3856.800048828125,40315
2024-06-11,3856.699951171875,3914.949951171875,3810.0,3896.89990234375,3896.89990234375,18305
2024-06-12,3928.300048828125,3976.949951171875,3910.0,3924.89990234375,3924.89990234375,53059
2024-06-13,3950.0,3980.0,3930.0,3941.10009765625,3941.10009765625,13286
2024-06-14,3943.89990234375,4000.0,3943.89990234375,3995.64990234375,3995.64990234375,18171
2024-06-18,4029.60009765625,4044.10009765625,3975.5,4015.050048828125,4015.050048828125,18432
