Date,Open,High,Low,Close,Adj Close,Volume
2023-06-14,4965.0,5022.5498046875,4951.0498046875,5009.0,4995.27978515625,360156
2023-06-15,5039.9501953125,5259.7998046875,5018.0,5218.75,5204.45556640625,1712253
2023-06-16,5218.75,5294.0,5163.0498046875,5200.0498046875,5185.80615234375,797312
2023-06-19,5220.0,5261.9501953125,5135.2998046875,5145.0,5130.90771484375,327818
2023-06-20,5174.9501953125,5197.89990234375,5101.10009765625,5162.0498046875,5147.91015625,334154
2023-06-21,5169.85009765625,5173.0,5086.60009765625,5118.75,5104.7294921875,410174
2023-06-22,5129.89990234375,5155.0,5055.0,5066.0,5052.12353515625,329800
2023-06-23,5084.39990234375,5084.39990234375,5001.0,5045.4501953125,5031.63037109375,335552
2023-06-26,5049.9501953125,5055.0,5000.0498046875,5036.9501953125,5023.15380859375,430106
2023-06-27,5040.0,5150.0,5036.9501953125,5142.7998046875,5128.71337890625,556456
2023-06-28,5145.0,5175.9501953125,5116.14990234375,5126.89990234375,5112.85693359375,362944
2023-06-30,5128.0,5148.9501953125,5064.0498046875,5098.2001953125,5084.23583984375,411015
2023-07-03,5127.5,5142.5,5060.0,5068.5,5054.6171875,150815
2023-07-04,5119.89990234375,5124.7001953125,5052.0498046875,5109.9501953125,5095.95361328125,233404
2023-07-05,5125.0,5148.5,5050.39990234375,5077.64990234375,5063.74169921875,279982
2023-07-06,5090.0,5310.0,5070.2001953125,5283.0498046875,5268.5791015625,1251554
2023-07-07,5274.9501953125,5274.9501953125,5130.0,5146.25,5132.15380859375,559765
2023-07-10,5179.85009765625,5203.5,5110.75,5158.35009765625,5144.220703125,271366
2023-07-11,5200.0,5272.39990234375,5165.10009765625,5257.0,5242.6005859375,503174
2023-07-12,5261.64990234375,5288.4501953125,5205.85009765625,5252.0498046875,5237.66357421875,263391
2023-07-13,5289.89990234375,5289.89990234375,5168.0,5182.0,5167.80615234375,338327
2023-07-14,5180.0,5198.4501953125,5096.25,5171.7998046875,5157.6337890625,508041
2023-07-17,5152.2001953125,5318.9501953125,5152.2001953125,5219.2998046875,5205.00390625,469609
2023-07-18,5206.5,5324.0,5106.4501953125,5162.60009765625,5148.458984375,511024
2023-07-19,5162.60009765625,5223.9501953125,5162.60009765625,5175.60009765625,5161.42333984375,265631
2023-07-20,5170.0,5210.0,5132.64990234375,5195.4501953125,5181.2197265625,276787
2023-07-21,5130.0498046875,5253.0,5125.0498046875,5204.89990234375,5190.64306640625,313184
2023-07-24,5144.0,5225.7001953125,5144.0,5180.7998046875,5166.609375,249814
2023-07-25,5153.7998046875,5220.0,5153.7998046875,5212.2001953125,5197.923828125,547945
2023-07-26,5196.0,5255.0,5143.0498046875,5155.75,5141.6279296875,297720
2023-07-27,5146.75,5265.0,5144.2001953125,5215.5,5201.21435546875,363050
2023-07-28,5177.0,5364.0,5177.0,5346.9501953125,5332.3046875,453505
2023-07-31,5339.9501953125,5339.9501953125,5158.5498046875,5173.4501953125,5159.27978515625,689230
2023-08-01,5210.0,5210.0,5021.5498046875,5032.39990234375,5018.61572265625,1044095
