Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,102050.203125,102792.1484375,101880.703125,102534.1484375,102529.2890625,2608
2023-07-31,102270.0,103298.8515625,102100.0,102956.25,102951.375,3198
2023-08-01,102507.1484375,103570.953125,102507.1484375,103285.75,103280.859375,3426
2023-08-02,102998.0,103199.953125,102000.0,102589.203125,102584.34375,3702
2023-08-03,102603.0,107600.0,101400.046875,106973.3515625,106968.28125,23043
2023-08-04,108469.0,111997.0,106775.3515625,111296.5,111291.2265625,26665
2023-08-07,111472.0,111500.0,107912.3515625,108216.25,108211.125,11175
2023-08-08,108216.25,108830.546875,105864.1484375,107634.8515625,107629.7578125,11305
2023-08-09,107634.8515625,107999.0,106000.0,106416.8984375,106411.859375,8607
2023-08-10,106400.25,106753.296875,105600.046875,106355.6015625,106350.5625,6482
2023-08-11,106750.0,106750.0,105615.6015625,105989.25,105984.2265625,4759
2023-08-14,105711.046875,106650.0,104807.0,106266.3515625,106261.3125,4265
2023-08-16,105500.0,106650.0,104834.3515625,106463.703125,106458.6640625,4641
2023-08-17,105905.796875,106979.25,105905.796875,106472.8984375,106467.859375,4952
2023-08-18,106500.0,108000.0,106430.046875,107760.3515625,107755.2421875,7089
2023-08-21,108500.0,108599.953125,107568.1015625,107798.453125,107793.34375,6810
2023-08-22,108300.0,108549.953125,107758.0,108411.796875,108406.6640625,3566
2023-08-23,108410.0,109200.0,108051.1484375,108675.546875,108670.3984375,4181
2023-08-24,109399.0,109399.0,108106.0,108595.1484375,108590.0,4788
2023-08-25,108127.6484375,108895.703125,108000.546875,108542.0,108536.8515625,3562
2023-08-28,108523.703125,108900.546875,107921.546875,108288.0,108282.8671875,3583
2023-08-29,108353.703125,109000.0,108250.8515625,108812.5,108807.34375,2244
2023-08-30,108999.0,109778.6484375,108812.5,109593.953125,109588.765625,2943
2023-08-31,109677.0,109677.0,108266.3515625,108686.25,108681.1015625,5954
2023-09-01,109500.0,109500.0,107559.046875,107984.1484375,107979.03125,6574
2023-09-04,108499.0,108980.0,107347.546875,108195.3984375,108190.2734375,4965
2023-09-05,108453.703125,108800.0,107888.1484375,108520.0,108514.8515625,3494
2023-09-06,108250.5,109537.953125,107500.0,109395.75,109390.5625,8365
2023-09-07,108831.0,109885.6015625,108798.796875,109205.1484375,109199.9765625,2632
2023-09-08,109300.0,109420.75,108600.203125,108858.3984375,108853.234375,2652
2023-09-11,109450.0,109850.0,108905.0,109440.453125,109435.265625,3871
2023-09-12,109800.0,109800.0,107555.046875,107916.203125,107911.09375,8831
2023-09-13,108108.0,109191.6484375,107476.796875,109058.6484375,109053.484375,7363
2023-09-14,109000.0,111200.0,109000.0,111001.25,110995.9921875,6353
2023-09-15,111000.0,112727.953125,108539.703125,109233.8515625,109228.671875,14149
2023-09-18,109666.0,109798.75,108060.0,109003.953125,108998.7890625,7075
2023-09-20,109000.0,109764.6484375,108100.0,109603.8984375,109598.7109375,4471
2023-09-21,109017.6015625,109775.0,108500.0,108841.6484375,108836.4921875,3636
2023-09-22,108500.0,109350.0,108477.046875,108655.046875,108649.8984375,3372
2023-09-25,108999.953125,109489.8984375,107651.0,109360.203125,109355.0234375,6572
2023-09-26,109300.0,109979.953125,108981.453125,109719.6015625,109714.3984375,3557
2023-09-27,109719.6015625,110500.0,109251.8984375,110285.3984375,110280.171875,2909
2023-09-28,110112.0,110277.5,108306.1015625,108726.3984375,108721.25,7911
2023-09-29,108725.8515625,109362.3515625,106800.0,107295.6015625,107290.5234375,9966
2023-10-03,108149.75,108600.6015625,106551.046875,108294.453125,108289.3203125,5523
2023-10-04,108249.796875,108249.796875,106441.1015625,106901.3984375,106896.3359375,3710
2023-10-05,107300.0,107820.0,106583.046875,106770.5,106765.4453125,3120
2023-10-06,107000.0,108000.0,107000.0,107550.25,107545.15625,3580
2023-10-09,107350.0,107684.546875,106405.0,107266.953125,107261.875,4229
2023-10-10,107699.0,108010.546875,107001.0,107204.1015625,107199.0234375,4103
2023-10-11,107320.0,108162.703125,107298.8984375,107738.1484375,107733.0390625,3534
2023-10-12,108100.0,108850.0,107910.1484375,108685.25,108680.1015625,3311
2023-10-13,108754.0,109250.0,108300.1484375,109092.75,109087.578125,3150
2023-10-16,108990.1015625,109850.0,108320.953125,109548.453125,109543.265625,4661
2023-10-17,110700.0,113439.296875,110611.546875,110885.75,110880.4921875,15221
